,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Locations,study_duration
228,Avandamet Bioequivalence Study Brazil - Fed Administration,0,"The study is prospective, open-label, randomized, crossover, with 02 treatments, 02 sequences, and 02 periods. The volunteers received, in each period, the reference or the test formulation after standardized meals.",1,"Diabetes Mellitus, Type 2",drug: rosiglitazone maleate + metformin 2 miligrams (mg) + 500 mg|drug: rosiglitazone maleate + metformin 4 miligrams (mg) + 1000 mg,"AUC0-t of Rosiglitazone Maleate, The area under the plot of plasma concentration of drug against time after drug administration is defined as the area under the curve (AUC). The AUC 0-t is calculated from time 0 (prior to administration of medication) to time t (the time of the last quantifiable concentration). The AUC is of particular use in estimating the bioavailability of drugs, by measuring the extent of absorption. ng, nanograms; ml, milliliter., Day 1 (day that blood collection started) and Day 2 (Period 1) and Days 8 and 9 (Period 2)|Cmax of Rosiglitazone Maleate, Cmax is defined as the maximum or ""peak"" concentration of a drug observed after its administration. Cmax is one of the parameters of particular use in estimating the bioavailability of drugs, by measuring the total amount of drug absorbed., Day 1 (day that blood collection started) and Day 2 (Period 1) and Days 8 and 9 (Period 2)|AUC0-infinity of Rosiglitazone Maleate, The area under the plot of plasma concentration of drug against time after drug administration is defined as the area under the curve (AUC). The AUC0-infinity is calculated from time 0 (prior to administration of medication) to infinity (the time of complete elimination of the drug). The AUC is of particular use in estimating the bioavailability of drugs, by measuring the extent of absorption., Day 1 (day that blood collection started) and Day 2 (Period 1) and Days 8 and 9 (Period 2)|AUC0-t of Metformin Hydrochloride, The area under the plot of plasma concentration of drug against time after drug administration is defined as the area under the curve (AUC). The AUC0-t is calculated from time 0 (prior to administration of medication) to time t (the time of the last quantifiable concentration). The AUC is of particular use in estimating the bioavailability of drugs, by measuring the extent of absorption. ng, nanograms; ml, milliliter., Day 1 (day that blood collection started) and Day 2 (Period 1) and Days 8 and 9 (Period 2)|AUC0-infinity of Metformin Hydrochloride, The area under the plot of plasma concentration of drug against time after drug administration is defined as the area under the curve (AUC). The AUC0-infinity is calculated from time 0 (prior to administration of medication) to infinity (the time of complete elimination of the drug). The AUC is of particular use in estimating the bioavailability of drugs, by measuring the extent of absorption., Day 1 (day that blood collection started) and Day 2 (Period 1) and Days 8 and 9 (Period 2)|Cmax of Metformin Hydrochloride, Cmax is defined as the maximum or ""peak"" concentration of a drug observed after its administration. Cmax is one of the parameters of particular use in estimating the bioavailability of drugs, by measuring the total amount of drug absorbed., Day 1 (day that blood collection started) and Day 2 (Period 1) and Days 8 and 9 (Period 2)",none,GlaxoSmithKline,none,ALL,ADULT,PHASE1,20-29,INDUSTRY,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,"GSK Investigational Site, Goiania, Goiás, Brazil",0-122
229,Effects of Social Skills and Physical Activity Training on Recreational Activities in Youth,0,"The purpose of this study is to examine the effect of social skills training on adolescents physical activity levels. For one week at the beginning and end of the study teens will wear a BioTrainer to measure their activity levels and also wear a pager to communicate the types of activities they are doing throughout the day. For 8 weeks participants will be randomized into one of two groups, a social skills training group or a physical activity group.

The investigators predict that both groups will experience an increase in physical activity and social involvement (decrease time spent alone).",0,Social Skills|Physical Activity,behavioral: social skills training|behavioral: physical activity training,"physical activity levels, pre and post intervention",none,University at Buffalo,none,ALL,CHILD,NO PHASE,30-41,OTHER,1,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,"University at Buffalo, Division of Behavioral Medicine, Buffalo, New York, 14214, United States",516-671
230,Interventions to Promote Healthy Eating and Physical Activity in Lebanese School Children Targeting Overweight and Obesity.,0,Evaluate the feasibility and effectiveness of a multi-component school-based intervention to promote healthy eating and physical activity with school children ages 9 to 11 years in Lebanon.,0,Childhood Obesity,other: health-e-pals-,"Change in knowledge score, Change in the knowledge scores (the sum of correct answers) based on a scored questionnaire delivered during pre- and -post assessment phases, One school year|Change in dietary habits, Change in the percentage of children consuming sugary drinks, unhealthy and healthy snacks, fruits and vegetables/change in the percentage of children's physical activity frequency (self-reported in the questionnaires during pre- and -post assessment phases), One school year|Change in self-efficacy score, Change in the self-efficacy scores (the sum of correct answers) based on a scored questionnaire delivered during pre- and -post assessment phases, One school year",none,American University of Beirut Medical Center,none,ALL,CHILD,NO PHASE,491-188814085,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,unknown,1461-2049
231,"Study of the Pharmacokinetics and Safety of Recombinant Factor VIIa Fusion Protein (rVIIa-FP, CSL689) in Patients With Congenital Factor VII Deficiency",0,"The purpose of this study is to investigate the pharmacokinetics (PK) and safety of rVIIa-FP (CSL689) in a total of 10 to 16 male or female adults with inherited coagulation factor VII (FVII) deficiency. Subjects will receive a single dose of their routine FVII replacement product (ie, either recombinant activated coagulation FVII \[rFVIIa, eptacog alfa (activated)\] or plasma-derived FVII \[pdFVII\]) as a comparator, and will then be randomly assigned to a single low dose or a single high dose of the study product CSL689 (8 subjects per CSL689 dose level). Serial blood samples for PK analysis will be taken up to 24 hours after the eptacog alfa (activated) or pdFVII injection, and up to 48 hours after the CSL689 injection. Subject safety will be routinely monitored throughout the study.",0,Congenital Coagulation Factor VII Deficiency,biological: eptacog alfa (activated) or pdfvii|biological: csl689,"Terminal half-life of plasma FVIIa activity, Up to 48 hours after CSL689 injection|Maximum observed plasma FVIIa activity, Before injection and at up to 9 time points until 48 hours after injection|Area under the curve (AUC0-t), Area under plasma FVIIa activity versus time curve from time 0 to last sample with quantifiable activity, Before injection and at up to 9 time points until 48 hours after injection","Total clearance, Total clearance of plasma FVIIa activity, Before injection and at up to 9 time points until 48 hours after injection|Volume of distribution of the terminal phase, Before injection and at up to 9 time points until 48 hours after injection|AUC(0-inf), Area under plasma FVIIa activity versus time curve from time 0 extrapolated to infinity, Before injection and at up to 9 time points until 48 hours after injection|Incremental recovery, Incremental recovery of plasma FVIIa activity, Before injection and at up to 9 time points until 48 hours after injection|Time of occurrence of maximum observed plasma FVIIa activity, Before injection and at up to 9 time points until 48 hours after injection|Number of subjects with antibodies against Chinese hamster ovary protein and FVII, Up to 30 days after CSL689 injection|Number of subjects with inhibitors against FVII, Up to 30 days after CSL689 injection",CSL Behring,none,ALL,"ADULT, OLDER_ADULT",PHASE1,0-8,INDUSTRY,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,"Site Reference 5280023, Njmegen, 6500, Netherlands|Site Reference # 5780001, Oslo, 0372, Norway",366-515
232,Evaluation of a New Treatment for Migraine Attacks,0,"The purpose of this study is to evaluate the efficacy of a novel therapy for treatment of migraine, pain reduction and relief of associated symptoms during ongoing migraine attacks, and presence of a preventive effect post treatment.",0,Migraine,device: inactive migraine medical device|device: migraine medical device,"Change from baseline in pain intensity according to VAS-scales (0-10), Estimated 30 minutes",none,Karolinska University Hospital,none,ALL,ADULT,NO PHASE,30-41,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT","Karolinska University Hospital, Huddinge, Stockholm, 14186, Sweden",
233,REALITY LHON Registry,0,"This study is a multi-country retrospective and cross-sectional observational study of affected LHON subjects, based on retrospective subjects' medical chart abstractions and cross-sectional administration of patient-reported outcomes (PROs).",0,Leber Hereditary Optic Neuropathy,other: patient-reported outcomes (pros),"Visual Function, Visual function will include visual examination data from medical records., All assessments available before enrollment|The National Eye Institute Visual Function Questionnaire (VFQ)-25, The National Eye Institute Visual Function Questionnaire (NEI-VFQ or VFQ)-25 is a valid and reliable 25-item version of the 51-item VFQ., Enrollment|The 36-Item Short Form Health Survey (SF-36), The SF-36 surveys health status and quality of life, Enrollment|Child Health Questionnaire (CHQ), The CHQ uses the same structure and methodological approach as the SF-36 and is designed and normed for children from 5-to-18 years of age., Enrollment|EuroQol-5 Dimension (EQ-5D)-5L, The EuroQol-5 Dimension-5 Level (EQ-5D-5L) is a generic HRQoL instrument that is widely used as a PRO measure., Enrollment","Economic burden of disease, Data will be gathered by questionnaire at cross-sectional survey. Direct costs and indirect costs resulting from LHON will be estimated by all enrolled subjects. Direct costs will include the medical and non-medical direct costs due to LHON, Enrollment",GenSight Biologics,none,ALL,"CHILD, ADULT, OLDER_ADULT",NO PHASE,42-59,INDUSTRY,0,Observational Model: |Time Perspective: p,"Doheny Eye Center UCLA Pasadena, Pasadena, California, 91105, United States|Emory University Hospital, Atlanta, Georgia, 30322, United States|Massachusetts Eye and Ear Infirmary, Boston, Massachusetts, 02114, United States|Wills Eye Institute, Philadelphia, Pennsylvania, 19107, United States|Alkek Eye Center, Houston, Texas, 77030, United States|CHU d'Angers, Angers, 49100, France|CHNO Les Quinze Vingts, Paris, 75012, France|Ospedale Bellaria, Bologna, 40139, Italy|Ospedale San Raffaele, Milano, 20132, Italy|Institut Catala de Retina, Barcelona, 08022, Spain|Moorfields Eye Hospital, London, Greater London, EC1V 2PD, United Kingdom",862-1097
234,"Phase 2 Efficacy, Safety, and Tolerability Study of Natalizumab in Focal Epilepsy",0,The primary efficacy objective of the study is to determine if adjunctive therapy of natalizumab 300 mg intravenous (IV) every 4 weeks reduces the frequency of seizures in adult participants with drug-resistant focal epilepsy. The secondary efficacy objective is to assess the effects of natalizumab versus placebo in drug-resistant focal epilepsy on additional measures of seizure frequency.,1,"Epilepsy, Focal Seizures, Partial Seizures",drug: natalizumab|other: placebo,"Change From Baseline in Log-Transformed Seizure Frequency During Weeks 8 to 24 of Treatment, Seizures included were focal aware seizures with motor signs, focal impaired awareness seizures and focal to bilateral tonic-clonic seizure. Focal aware seizures without motor signs were not included. Seizure clusters (where individual seizures cannot be distinguished) were counted as 1 seizure per cluster on each day that they are present. Study baseline seizure frequency (number of seizures per 28 days) was calculated based on participant's seizure diary data during prospective baseline phase. Seizure frequency (SF) at post baseline visit was calculated based on sum of the seizures reported in participant seizure diary and the number of days with non-missing SF data in participant seizure diary on or after the previous visit date. Change from Baseline are based on natural log transformation of baseline SF or SF at post baseline visit correspondingly. For log-transformation, the quantity 0.2 {ln(x+0.2)} was added to the SF at post baseline visit to account for 0 seizure count., Baseline, Week 8 to Week 24","Percentage of Responders During Weeks 8 to 24 of Treatment, Responders were defined as participants with \>=50% reduction from study baseline in seizure frequency during Weeks 8 to 24. Study baseline seizure frequency (number of seizures per 28 days) was calculated based on participants' seizure diary data during the prospective Baseline Phase (number of seizures during Baseline Phase/number of days with non-missing seizure frequency\*28). Participants who withdrew from treatment or required protocol specified modifications of antiepileptic drug (AEDs) prior to Week 24 (completion of the Placebo-controlled Phase) or death related to Epilepsy were considered as non-responders in the analysis. Seizure frequency at post baseline visit was calculated based on the sum of the seizures reported in the subject seizure diary and the number of days with non-missing seizure frequency data in the subject seizure diary on or after the previous visit date., Week 8 to Week 24|Number of Participants Free From Seizures During Weeks 8 to 24 of Treatment, Seizure free is defined as a participant with no seizure reported and no missing diary during Weeks 8 to 24. Participants who withdrew from treatment, required modifications of AEDs prior to Week 24 (completion of the Placebo-controlled Phase), or any missing diary data during Weeks 8 to 24 of treatment were not considered as seizure free in the analysis., Week 8 to Week 24|Percent Change From Baseline of Seizure-Free Days Change During Weeks 8 to 24 of Treatment, Study baseline seizure free days (number of seizure free days per 28 days) was calculated based on the diary data during the prospective baseline Phase (Number of seizures during baseline Phase/Number of days with non-missing seizure frequency\*28). Seizure frequency at post baseline visit was calculated based on the sum of the seizures reported in the subject seizure diary and the number of days with non-missing seizure frequency data in the subject seizure diary on or after the previous visit date., Baseline, Week 8, Week 12, Week 16, Week 20, Week 24|Percentage of Participants With Inadequate Treatment Response During Weeks 8 to 24 of Treatment, Inadequate treatment response includes participants who withdraw from treatment due to lack of efficacy or require protocol specified modifications of antiepileptic drugs (AEDs) prior to Week 24 (completion of the placebo- controlled phase) or death related to Epilepsy., Week 8 to Week 24",Biogen,none,ALL,"ADULT, OLDER_ADULT",PHASE2,60-79,INDUSTRY,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","Research Site, Birmingham, Alabama, 35294, United States|Research Site, Phoenix, Arizona, 85004, United States|Research Site, Phoenix, Arizona, 85054, United States|Research Site, San Diego, California, 92103, United States|Research Site, Santa Monica, California, 90404, United States|Research Site, Washington, District of Columbia, 20037, United States|Research Site, Jacksonville, Florida, 32209, United States|Research Site, Maitland, Florida, 32751, United States|Research Site, Orlando, Florida, 32803, United States|Research Site, Tallahassee, Florida, 32308, United States|Research Site, Tampa, Florida, 33606, United States|Research Site, Honolulu, Hawaii, 96817, United States|Research Site, Chicago, Illinois, 60612, United States|Research Site, Bethesda, Maryland, 20817, United States|Research Site, Chevy Chase, Maryland, 20815, United States|Research Site, Boston, Massachusetts, 02111, United States|Research Site, Boston, Massachusetts, 02115, United States|Research Site, Saginaw, Michigan, 48602, United States|Research Site, Saint Louis, Missouri, 63110, United States|Research Site, Camden, New Jersey, 08103, United States|Research Site, Bronx, New York, 10467, United States|Research Site, Rochester, New York, 14642, United States|Research Site, Syracuse, New York, 13210, United States|Research Site, Asheville, North Carolina, 28806, United States|Research Site, Chapel Hill, North Carolina, 27514, United States|Research Site, Durham, North Carolina, 27705, United States|Research Site, Akron, Ohio, 44320, United States|Research Site, Philadelphia, Pennsylvania, 19104, United States|Research Site, Charleston, South Carolina, 29425, United States|Research Site, Dallas, Texas, 75390, United States|Research Site, Renton, Washington, 98055, United States",862-1097
235,The Role and Effectiveness of Diabetes Coaches in British Columbia,0,"This project is a partnership between the University of Victoria and the eleven Diabetes Health Centres in the Fraser Health Region of British Columbia, Canada. The primary goal of this project is to evaluate the feasibility, viability, and effectiveness of using peer health coaches to assist persons with type 2 diabetes who are experiencing challenges in managing their diabetes. The University of Victoria will recruit and train sixty coaches with various cultural and socioeconomic backgrounds representing a community of practice. Coaches will also have type 2 diabetes or be familiar with type 2 diabetes and will have led or taken the Diabetes Self-Management Program in English, Punjabi or in Aboriginal communities. Training will also include navigating the health care system, accessing mandated health and employment- related services, importance of medication adherence and ability to understand health care instructions. One hundred and fifty subjects with type 2 diabetes will be recruited by Diabetes Health Educators or through community newspaper ads. Eligibility criteria for subjects include: adults with type 2 diabetes who speak English or Punjabi living in the Fraser Health region. A one group pre-post matched design will be used. Both participants and coaches will complete questionnaires at baseline, six and twelve months. The Diabetes Coaches will provide assistance to subjects for a period of 6 months. A project community advisory committee comprised of the researchers, Diabetes Centre administrative staff, clinicians, coaches, subjects, key community leaders and representatives from the diabetes industry will meet every three months to guide implementation and sustainability. Qualitative research methods (i.e., focus groups and interviews) will be used to gather feedback, perspectives, and opinions of all the stakeholders.",0,"Diabetes Mellitus, Type 2",behavioral: diabetes health coach support,"Patient Activation Measure (PAM), This is a composite measure, one year","glycated hemoglobin test (A1C), Measures blood glucose level, one year|Diabetes Empowerment Scale (DES), Assesses subjects' perception of empowerment to manage diabetes, one year|Self-efficacy, Measures confidence in managing diabetes, one year|Self-reported health, Assess subjects' perception of their health status, one year|Fatigue, Assesses subjects' perception of fatigue level, one year|Pain, Assesses subjects' perception of pain level, one year|Patient Health Questionnaire (PHQ-9) Depression Scale, Assesses subjects' perception of depression experience, one year|Communication with physician, Assesses' subjects' communication with their doctor, one year|Medication Adherence scale, Measures subjects' adherence to prescribed medication, one year|Chow 3 question health literacy scale, Measures health literacy, one year|Self-reported healthcare utilization, Self-report number of doctor visits, emergency room visits, and nights in hospital, one year",University of Victoria,The Lawson Foundation,ALL,"ADULT, OLDER_ADULT",NO PHASE,80-119,OTHER,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,"UVictoria, Delta, British Columbia, V4K 2K6, Canada",1098-1460
236,Randomised Controlled Study on the Use of Psychoeducation for Bulimia Nervosa in Young Women,0,The purpose of this study is to evaluate the effectivity of guided self-help via Internet and bibliotherapy in the treatment of bulimia nervosa (BN) in young women.,0,Bulimia Nervosa,behavioral: guided self-help for bulimia nervosa,"Eating disorder symptomatology after 3 months and after 7 months, Eating disorder symptomatology after 3 months and after 7 months, december 2009","Predictors for best outcome, Predictors for best outcome, december 2009|motivation for change, motivation for change, dec 2009",Medical University of Vienna,National Bank of Austria,FEMALE,"CHILD, ADULT",NO PHASE,120-209,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,"Medical University of Vienna, Dep. of Children and Adolescent Psychiatry, Vienna, 1090, Austria",862-1097
237,Prophylaxis Against Metoclopramide-Induced Akathisia,0,"ABSTRACT

Study Objective:

To compare the effects of midazolam and diphenhydramine for the prevention of metoclopramide induced akathisia.

Methods:

This randomized, double-blind and controlled trial aimed to investigate co-administered midazolam versus diphenhydramine in the prophylaxis of metoclopramide induced akathisia. Patients 18 through 65 years of age who presented to the ED with primary or secondary complaints of nausea and/or moderate to severe vascular type headache were eligible for this study. Patients were randomized to one of the fallowing three groups: (1) metoclopramide 10 mg + midazolam 1.5 mg (2) metoclopramide 10 mg + diphenhydramine 20 mg (3) metoclopramide 10 mg + placebo. Metoclopramide was administered as a 2 minutes bolus infusion. Midazolam, diphenhydramine and normal saline solution administered as a 15 minutes slow infusion. Whole procedure was observed, akathisia and sedation scores and vital changes were recorded.",0,Akathisia,drug: midazolam,akathisia and sedation scores,none,Pamukkale University,none,ALL,"ADULT, OLDER_ADULT",NO PHASE,210-490,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",unknown,0-122
238,Pharmacist-led Group Medical Visits to Help With Diabetes Management,0,"This is a multi-site open label randomized controlled study of patients with type 2 diabetes undergoing pharmacist-led group medical visits that include education by a multi-disciplinary personnel, behavioral modification and pharmacotherapy case management vs. usual care",1,Diabetes Mellitus|Cardiovascular Diseases,other: algorithm driven medication titration|behavioral: monitoring|behavioral: group support|behavioral: self efficacy,"Hemoglobin A1c, Hemoglobin A1c levels at 6 months, 6 months|Hemoglobin A1c, hemoglobin A1c levels at 13 months, 13 months","Change From the Baseline in the Hr-QOL as Assessed by SF-36V at 13 Months of Study Enrollment, Medical Outcomes Study 36-Item Short Form Survey (SF-36) is a popular, multi-purpose health status survey that addresses quality of life from physical and mental health perspectives. SF-36v is the survey adapted for veterans. Items are summed and averaged in two subscores, the Physical Composite Summary Score and the Mental Composite Summary Score, and scaled to a range of 0 to 100, with lower scores denoting poorer health., Baseline and 13 months|Health-care Costs to the VHA, The reported values represent the ""Total VHA expenditure per person"". Institutional costs from health service utilization on the study patients during and 13 months after the intervention. Baseline is considered time 0., 13 months (during study) and 13 months (after the study) = 26 months",VA Office of Research and Development,none,ALL,"ADULT, OLDER_ADULT",NO PHASE,210-490,GOVERNMENT,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,"VA Connecticut Health Care System (West Haven), West Haven, Connecticut, 06516, United States|VA Pacific Islands Health Care System, Honolulu, Honolulu, Hawaii, 96819-1522, United States|Providence VA Medical Center, Providence, RI, Providence, Rhode Island, 02908, United States",1461-2049
239,Safety of Synbiotics as Adjuvant to Influenza Vaccine in Elderly,0,"Probiotics are viable commensal microorganisms that promote the establishment of beneficial microflora. Animal and human studies demonstrate that probiotics can enhance body's immune response to stimuli. Mayo Clinic in conjunction with Agri-King Corporation has developed a novel synbiotic called AKSB (Agri-King Synbiotic) that contains a probiotic bacterium (Enterococcus faecium, microencapsulated SF68 or Ventrux ME 30), a probiotic yeast (Saccharomyces cerevisiae, Lynside® Pro-Lay 1), and a prebiotic (fructo-oligosaccharide \[FOS\], NutraFlora®). This phase I placebo-controlled trial of AKSB in normal human volunteers, over 65 years of age, is designed to study the safety of this probiotic when patients are also receiving an influenza vaccine. If this study shows that AKSB is safe then our aim is to do a larger study to see if we can improve influenza vaccine immune response while taking the probiotic compared to placebo.",0,Influenza,biological: synbiotic aksb,"number of patients with adverse events, To evaluate the safety and tolerability of AKSB when administered with the influenza vaccine as compared to the influenza vaccine alone with placebo in patients ≥65 years of age., 127 days","Compare stool presence of probiotic enterococcal strain, To evaluate for stool VRE presence pre-post intervention and to compare molecular fingerprinting of VRE isolated with the SF68 strain of enterococci used in the study drug to demonstrate safety of the study drug., baseline to 21 days|Immune response to Influenza A vaccine in the AKSB arm compare to Placebo, To determine whether AKSB can increase the protection rate \[PR, (number of participants that achieve the protective antibody titer)\] by 20% in the AKSB arm at days 14, 28 days and 120 days after vaccination among the elderly patients (≥ 65 years of age). Effect of age (65-75 years and \>75 years), gender, underlying medical history and previous vaccination status (within the last 2 years) will evaluated., days 14, 28 days and 120 days after vaccination",Mayo Clinic,National Center for Complementary and Integrative Health (NCCIH),ALL,OLDER_ADULT,PHASE1,20-29,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: ","Mayo Clinic, Rochester, Minnesota, 55905, United States",0-122
240,Predictors of Success Following Bariatric Surgery,0,"This study aims to consolidate the contributions of various medical, social and psychological predictors of success following bariatric surgery amongst Singaporeans.",0,Focus of Study is Patient Responses to an Obesity Management Questionnaire Administered by SGH Life Centre,unknown,"Weight Loss, Weight Loss in Kilograms, Immediately post-surgery within first year",none,Yale-NUS College,none,ALL,"CHILD, ADULT, OLDER_ADULT",NO PHASE,210-490,OTHER,0,Observational Model: |Time Perspective: p,"Yale-NUS College, Singapore, 138527, Singapore",0-122
241,"Shock Wave Therapy for Lateral Hip Pain, Caused by Tendon Pathology",0,"The aim of this randomized controlled study is to investigate if focal shock wave is an effective treatment, with respect to hip pain and lower limb function, in a population affected by greater trochanteric pain syndrome with gluteal tendinopathy.",0,Tendinopathy,procedure: focused shock wave therapy|procedure: ultrasound therapy,"p-NRS, Change from baseline p-NRS (pain-on-movement numeric rating scale) at 2 months and at 6 months., Baseline, at two months, at six months|LEFS score, Change from baseline LEFS (Lower extremity functional scale) total score at 2 months and at 6 months, Baseline, at two months, at six months",none,Foundation IRCCS San Matteo Hospital,none,ALL,"ADULT, OLDER_ADULT",NO PHASE,42-59,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,unknown,1098-1460
242,Hybridized Three Steps Intervention to Prevent Diabetes in Venezuela,0,"The American Diabetes Association recommends implementing the Diabetes Prevention Program (DPP) in subjects with prediabetes. In the DPP, weight reduction was the main predictor of a lower incidence of type 2 diabetes (T2D), each kilogram lost was related with 16% lower incidence. However, the effectiveness of the DPP in primary care settings is lower than the original study. A meta-analysis of 36 pragmatic clinical trials of DPP in primary care settings showed a reduction in T2D incidence by 26%, less than half than the original study (58%), with a pooled mean weight loss 1.57 kg higher than standard care, demonstrating the large difficulties to reduce weight of participants at community levels. Total diet replacement (TDR) with low-energy liquid-diet or solid diet (825-853 kcal/day) is an effective strategy to reduce weight. The effectiveness of an intervention including initial rapid weight loss before starting the DPP is ignored in primary care levels in Venezuela. We aim: 1- To compare the weight loss achieved of two lifestyle intervention programs in a community health center of Venezuela: a) A hybrid lifestyle including rapid weight loss with total diet replacement (TDR), then medical nutrition therapy (MNT), and the DPP, VS b) only the DPP; 2- To evaluate the change of cardiometabolic risk factors between groups; 3- To evaluate the implementation process. Our hypothesis is: after six months of intervention, subjects receiving a hybridized lifestyle (TDR+MNT+DPP) will double the weight loss of those that only receive DPP.",0,"Obesity|Overweight|PreDiabetes|Diabetes Mellitus, Type 2|Risk Factor, Cardiovascular",behavioral: total diet replacement (tdr)|behavioral: medical nutritional therapy (mnt)|behavioral: diabetes prevention program 4 months|behavioral: diabetes prevention program,"Change of weight in kilograms, The difference of change of weight in kilograms between the arms of the intervention, 6 months","Change in the points of Acceptance of the program assessed by a questionnaire using a Likert scale, The level of acceptance of the program will be measured with a questionnaire. Each question will be scored using a Likert scale from 0 to 5 points, where 0 is the worse and 5 is the best result. The change in the points of each question will be compared between arms of intervention., 6 months|Change in the points of Appropriateness of the core-curriculum assessed by a questionnaire using a Likert scale, The level of appropriateness of the core-curriculum will be measured with a questionnaire. Each question will be scored using a Likert scale from 0 to 5 points, where 0 is the worse and 5 is the best result. The change in the points of each question will be compared between arms of intervention., 6 months|Percentage of Attendance to the program, The percentage of attendance to the program will be calculated as the number of sessions that the participant attended from the total number of sessions. The percentage will be compared between arms of the intervention., 6 months|Percentage of Completion of the program., The completion percentage will be measured as the percentage of participants that finalized the program. The percentage will be compared between arms of intervention., 6 months",Foundation for Public Health and Epidemiological Research of Venezuela,none,ALL,"ADULT, OLDER_ADULT",NO PHASE,120-209,INDUSTRY,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,"Maria M. Infante Garcia, Caracas, Chacao, 1006, Venezuela|FISPEVEN, Caracas, Chacao, 1060, Venezuela",366-515
243,"Tipifarnib and Etoposide in Treating Older Patients With Newly Diagnosed, Previously Untreated Acute Myeloid Leukemia",0,"This randomized phase II trial is studying the side effects and how well giving tipifarnib together with etoposide works in treating older patients with newly diagnosed, previously untreated acute myeloid leukemia. Tipifarnib may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. Drugs used in chemotherapy, such as etoposide, work in different ways to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Giving tipifarnib together with etoposide may kill more cancer cells.",1,Acute Myeloid Leukemia With Multilineage Dysplasia Following Myelodysplastic Syndrome|Adult Acute Megakaryoblastic Leukemia (M7)|Adult Acute Minimally Differentiated Myeloid Leukemia (M0)|Adult Acute Monoblastic Leukemia (M5a)|Adult Acute Monocytic Leukemia (M5b)|Adult Acute Myeloblastic Leukemia With Maturation (M2)|Adult Acute Myeloblastic Leukemia Without Maturation (M1)|Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities|Adult Acute Myeloid Leukemia With Del(5q)|Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)|Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)|Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)|Adult Acute Myelomonocytic Leukemia (M4)|Adult Erythroleukemia (M6a)|Adult Pure Erythroid Leukemia (M6b)|Secondary Acute Myeloid Leukemia|Untreated Adult Acute Myeloid Leukemia,drug: tipifarnib|drug: etoposide,"Complete Response, Bone marrow showing less than 5% myeloblasts with normal maturation of all cell lines, an ANC of at least 1000/mcL and a platelet count of 100,000 mcL, absence of blast in peripheral blood, absence of identifiable leukemic cells in the bone marrow, clearance of disease-associated cytogenetic abnormalities, and clearance of any previously existing extramedullary disease. A CR must be confirmed 4 to 6 weeks after the initial documentation. If possible, at least one bone marrow biopsy should be performed to confirm the CR., 6 months",none,National Cancer Institute (NCI),none,ALL,OLDER_ADULT,PHASE2,80-119,GOVERNMENT,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,"Blood and Marrow Transplant Group of Georgia, Atlanta, Georgia, 30342, United States|Johns Hopkins University/Sidney Kimmel Cancer Center, Baltimore, Maryland, 21287, United States|University of Michigan, Ann Arbor, Michigan, 48109, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States|Weill Medical College of Cornell University, New York, New York, 10065, United States",1098-1460
